Study,Specimen,b_w_mm,d_mm,rho_l_pct,f_yl_MPa,f_c_MPa,M_E_test_kNm,M_R_pred_kNm,c_fl
[29],V45-03-WB,150,160,1.06,331,57.0,15.0,13.6,1.10
[29],VEX45-03-WB,150,160,1.06,331,55.3,15.3,13.6,1.13
[29],V-01-10WB,150,160,0.59,331,30.6,8.0,8.0,1.00
[29],V-01-10DB,150,160,0.59,331,32.5,9.1,8.0,1.13
[32],CL-Av,200,304,1.99,420,37.1,142.7,165.1,0.86
[32],CG-Av,200,304,1.99,420,33.8,139.1,162.4,0.86
[36],BSF4-A0,400,525,2.34,380,26.9,878.9,813.8,1.08
[37],NAC1a,200,268,0.28,640,35.0,28.4,25.2,1.13
[37],NAC2a,200,263,1.46,550,35.0,108.6,97.5,1.11
[37],NAC3a,200,244,2.54,550,35.0,137.6,134.8,1.02
[40],F0-1a,150,200,1.3,572,38.6,42.6,41.3,1.03
[40],F0-1b,150,200,1.3,572,38.6,43.1,41.3,1.04
[40],F0-2a,150,200,1.3,572,46.5,43.8,42.1,1.04
[40],F0-2b,150,200,1.3,572,46.5,43.8,42.1,1.04
[41],N0-0.5,135,230,0.5,377,38.6,15.9,13.3,1.20
[41],N0-1.0,135,230,1,408,38.6,28.2,23.8,1.19
[41],N0-1.5,135,230,1.5,389,38.6,36.9,33.6,1.10
[41],N0-1.8,135,230,1.8,410,38.6,52.8,48.1,1.10
