Study,Specimen,b_w_mm,d_mm,a_d_ratio,rho_l_pct,f_c_MPa,V_E_test_kN,V_R_pred_kN,c_sh
[28],HC-10,200,303,3.3,2.98,41.9,100.5,86.5,1.16
[30],V0CC,200,303,3.3,2.98,40.2,88.9,85.3,1.04
[33],CL-M,200,309,2.6,1.62,38.8,92.8,79.8,1.16
[33],CG-2.7,200,309,2.6,1.62,34.4,150.0,76.7,1.96
[34],NANAC-H2.5,200,360,2.5,1.61,24.7,90.7,77.2,1.17
[34],NANAC-H3.25,200,360,3.25,1.61,24.7,71.1,77.2,0.92
[34],NANAC-L2.5,200,360,2.5,0.53,24.7,66.2,53.3,1.24
[34],NANAC-M2.5,200,360,2.5,0.83,24.7,72.0,61.9,1.16
[38],NAC1b,200,235,4.2,4.09,30.8,106.3,64.2,1.65
[39],NA-S2,200,300,2.5,1.94,31.8,75.5,77.5,0.97
[39],NA-M2,200,450,2.5,1.93,31.8,106.9,106.4,1.00
[39],NA-L2,200,600,2.5,1.94,31.8,125.9,134.5,0.94
[39],NA-M3,300,450,2.5,2.00,31.8,156.7,161.5,0.97
[39],NA-L4,400,600,2.0,1.94,31.8,256.4,269.0,0.95
[42],NAC NS-6 1,300,375,3.2,2.03,37.3,143.2,147.5,0.97
[42],NAC NS-8 1,300,375,3.2,2.71,37.3,173.5,147.5,1.18
[42],NAC NS-4 2,300,400,3.1,1.27,34.2,129.9,129.6,1.00
[42],NAC NS-6 2,300,375,3.2,2.03,34.2,167.0,143.3,1.17
[42],NAC NS-8 2,300,375,3.2,2.71,34.2,170.8,143.3,1.19
[40],S0-1a,150,200,3.8,1.30,32.6,31.1,37.7,0.83
[40],S0-1b,150,200,3.8,1.30,32.6,36.9,37.7,0.98
[40],S0-2a,150,200,3.8,1.30,50.3,40.4,43.5,0.93
[40],S0-2b,150,200,3.8,1.30,50.3,42.3,43.5,0.97
