"CaseID","BeamType","Description","LoadStep","LoadLabel","LoadFactor","b","h","d","f_c","f_yl","f_yt","M_u_kNm","V_u_kN","V_u_at_d_kN","w_UDL_kNm","L_span_m","Python_phiMn_kNm","Python_DCR","Python_phiVn_kN","Python_V_DCR","Python_As_mm2","Python_Asp_mm2","Python_n_bars","Python_np_bars","Python_stirrup_spacing_mm","Python_delta_mm","Python_delta_allow_mm","Python_deflection_OK","Python_shear_reinf_req","Commercial_phiMn_kNm","Commercial_phiVn_at_d_kN","Commercial_As_mm2","Commercial_Asp_mm2","Commercial_stirrup_spacing_mm"
"A-S1","Type-A: Simply Supported Floor Beam","Interior floor beam, 300×700 mm, f'c=28 MPa, 6m span","1","w=50.0 kN/m","50.00","300.0","700.0","636.2","28.0","420.0","280.0","225.00","150.00","118.19","50.00","6.0","264.26","0.8514","243.43","0.6162","1161.2","774.2","3","2","310","5.29","25.00","Yes","Yes","264.22","245.63","1161","0","295"
"A-S2","Type-A: Simply Supported Floor Beam","Interior floor beam, 300×700 mm, f'c=28 MPa, 6m span","2","w=57.5 kN/m","57.50","300.0","700.0","636.2","28.0","420.0","280.0","258.75","172.50","135.92","57.50","6.0","264.26","0.9791","243.43","0.7086","1161.2","774.2","3","2","310","5.29","25.00","Yes","Yes","264.22","245.63","1161","0","295"
"A-S3","Type-A: Simply Supported Floor Beam","Interior floor beam, 300×700 mm, f'c=28 MPa, 6m span","3","w=65.0 kN/m","65.00","300.0","700.0","636.2","28.0","420.0","280.0","292.50","195.00","153.65","65.00","6.0","345.69","0.8461","247.78","0.7870","1548.3","774.2","4","2","310","5.15","25.00","Yes","Yes","345.63","245.63","1548","0","295"
"A-S4","Type-A: Simply Supported Floor Beam","Interior floor beam, 300×700 mm, f'c=28 MPa, 6m span","4","w=72.5 kN/m","72.50","300.0","700.0","636.2","28.0","420.0","280.0","326.25","217.50","171.38","72.50","6.0","345.69","0.9438","247.78","0.8778","1548.3","774.2","4","2","310","5.15","25.00","Yes","Yes","345.63","245.63","1548","0","295"
"A-S5","Type-A: Simply Supported Floor Beam","Interior floor beam, 300×700 mm, f'c=28 MPa, 6m span","5","w=80.0 kN/m","80.00","300.0","700.0","636.2","28.0","420.0","280.0","360.00","240.00","189.10","80.00","6.0","423.78","0.8495","252.13","0.9519","1935.4","774.2","5","2","310","5.03","25.00","Yes","Yes","416.75","242.12","1935","0","295"
"C-S1","Type-C: Cantilever Balcony Beam","Cantilever beam, 250×400 mm, f'c=28 MPa, 2.5m span","1","w=15.0 kN/m","15.00","250.0","400.0","342.6","28.0","420.0","280.0","46.88","37.50","37.50","15.00","2.5","49.32","0.9505","115.75","0.3240","397.1","397.1","2","2","170","0.60","10.42","Yes","Yes","48.94","129.38","398","0","140"
"C-S2","Type-C: Cantilever Balcony Beam","Cantilever beam, 250×400 mm, f'c=28 MPa, 2.5m span","2","w=18.0 kN/m","18.00","250.0","400.0","342.6","28.0","420.0","280.0","56.25","45.00","45.00","18.00","2.5","72.40","0.7770","116.45","0.3864","595.7","397.1","3","2","170","0.60","10.42","Yes","Yes","71.82","120.29","597","0","160"
"C-S3","Type-C: Cantilever Balcony Beam","Cantilever beam, 250×400 mm, f'c=28 MPa, 2.5m span","3","w=21.0 kN/m","21.00","250.0","400.0","342.6","28.0","420.0","280.0","65.62","52.50","52.50","21.00","2.5","72.40","0.9065","116.45","0.4508","595.7","397.1","3","2","170","0.60","10.42","Yes","Yes","71.82","120.29","597","0","160"
"C-S4","Type-C: Cantilever Balcony Beam","Cantilever beam, 250×400 mm, f'c=28 MPa, 2.5m span","4","w=24.0 kN/m","24.00","250.0","400.0","342.6","28.0","420.0","280.0","75.00","60.00","60.00","24.00","2.5","94.42","0.7943","117.14","0.5122","794.2","397.1","4","2","170","0.60","10.42","Yes","Yes","93.65","122.19","796","0","156"
"C-S5","Type-C: Cantilever Balcony Beam","Cantilever beam, 250×400 mm, f'c=28 MPa, 2.5m span","5","w=27.0 kN/m","27.00","250.0","400.0","342.6","28.0","420.0","280.0","84.38","67.50","67.50","27.00","2.5","94.42","0.8936","117.14","0.5762","794.2","397.1","4","2","170","0.60","10.42","Yes","Yes","93.65","122.19","796","0","156"
